X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 X25 X26 X27 X28 X29 X30 X31 X32 X33 X34 X35 X36 X37 X38 X39 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50
0.4623399243 0.4367766189 0.4415860402 0.4342398257 0.4602657133 0.4192075892 0.4606785426 0.4337568665 0.4684704786 0.4482611918 0.4390080127 0.4105175931 0.4485385527 0.4598381282 0.4344868971 0.4447333697 0.4614900242 0.4259644511 0.4553548684 0.4493965695 0.4420110458 0.4419177444 0.4405001705 0.4480942562 0.4532215236 0.4579856401 0.4349237977 0.4444364329 0.457297803 0.4519394902 0.451739632 0.4397475044 0.3847773837 0.4627432521 0.4558657445 0.4340830199 0.4596727237 0.4443521741 0.4422106155 0.4346223909 0.4356114561 0.43889442 0.4536451257 0.4362608654 0.4254510718 0.4376896251 0.4473928393 0.4630913047 0.4505765751 0.4345653334
0.464456679 0.4438415877 0.442501302 0.4356859568 0.4664022732 0.427633763 0.4575128945 0.4378980498 0.4716380421 0.447899658 0.4280999703 0.4102574333 0.4513699796 0.4603072693 0.4433177027 0.4418371754 0.4642705688 0.4290169985 0.4623599705 0.4423698394 0.43846025 0.4382653917 0.4387026904 0.4450460387 0.454723306 0.4535682286 0.4468551184 0.4395749355 0.4568590362 0.4425161088 0.4550652721 0.4392410206 0.396189751 0.463617788 0.4571496723 0.4242750245 0.4605794981 0.4380465262 0.4395967859 0.4384248085 0.4417164452 0.4394437995 0.4566633643 0.4399182835 0.4268691973 0.4463836899 0.4425853222 0.4622237029 0.4474599866 0.4336802114
0.461306669 0.4492311373 0.4323360536 0.4231464294 0.464152095 0.4219091367 0.4590821922 0.4324903454 0.467787628 0.4582508427 0.4264256495 0.4179737877 0.443782963 0.4613485295 0.4454368056 0.4611128703 0.4647284271 0.4270072516 0.4577958151 0.453871973 0.4480273725 0.441952725 0.4411320376 0.4509050344 0.4559458657 0.4698270212 0.4392276286 0.444197697 0.454670096 0.4509534051 0.4668892198 0.4408236644 0.3988645344 0.4636006053 0.4530119046 0.4287381153 0.4600024072 0.4447205457 0.4477836844 0.4248954185 0.4453636865 0.4435381982 0.467440645 0.4425452921 0.4268121096 0.4515705124 0.4463071194 0.4635201478 0.4655090346 0.4460933133
0.4615186237 0.4484559275 0.4498144852 0.4245676942 0.4634979897 0.4221868313 0.4692476549 0.4362251998 0.4729064228 0.4505758047 0.4258019432 0.4199120022 0.4549229954 0.461585657 0.4385733386 0.459209692 0.4656906643 0.4277068448 0.4594499514 0.4611592053 0.4424620508 0.4504137266 0.4370836845 0.4570514514 0.4666719223 0.4586935664 0.4490392265 0.4392403309 0.4631480134 0.4620081001 0.4637365894 0.4393941385 0.3957348601 0.4633921448 0.4582707239 0.4271542566 0.4721576412 0.452904438 0.4478924441 0.4506847876 0.449436468 0.4428038742 0.4664766514 0.4480577821 0.4343364395 0.4569828616 0.4495328384 0.465382679 0.459675068 0.4360092358
0.4587051088 0.4493757563 0.4431592975 0.4373832339 0.457544121 0.4244801797 0.4729948994 0.4345730994 0.4602356184 0.440308711 0.4327901221 0.4289475799 0.4542918037 0.4614608991 0.4384981744 0.4553746942 0.4643761394 0.4271513185 0.4579163891 0.4642201662 0.4364152869 0.4427817814 0.4322576296 0.4657881145 0.4628845003 0.4452770304 0.4479365386 0.4454739718 0.4669810783 0.4556580421 0.4540918999 0.4404790753 0.386134895 0.4661128085 0.4606632683 0.4343307807 0.4677875473 0.4527821803 0.4536195831 0.4540811867 0.4479713723 0.443136863 0.4697249676 0.4524564222 0.4290219185 0.4546923065 0.4522544786 0.4667392224 0.4465947034 0.4433562826
0.4611667502 0.4508451993 0.4467429559 0.4407718732 0.4619500387 0.4174253982 0.4692320269 0.4354227107 0.4709741253 0.4462140331 0.441445396 0.4235701355 0.4579596106 0.4613468905 0.4450333917 0.4594327447 0.4668470954 0.43562703 0.465868743 0.4626042155 0.4419932322 0.4481011459 0.439794461 0.4658437071 0.4581538617 0.4420343059 0.4571782143 0.4505301689 0.4542001376 0.4615078006 0.4565097052 0.4420679111 0.3918744478 0.4661418642 0.4515661295 0.4385896889 0.4722318166 0.4508454288 0.4463688114 0.4592757004 0.4441348593 0.4440884059 0.4722658927 0.4584591697 0.4294483231 0.4502791713 0.4501150758 0.4643368356 0.4671871499 0.4454269874
0.4590768244 0.4487796824 0.4539794579 0.443943077 0.4605469235 0.4219248682 0.4678359671 0.4244742746 0.4651573217 0.4511461096 0.4360220501 0.424759668 0.453062297 0.4628198853 0.4413709903 0.4438953144 0.4600027399 0.433525256 0.4673668786 0.4552652824 0.4392794988 0.4491511111 0.4415793772 0.4692457492 0.4661128636 0.4338600053 0.4464740807 0.4441655539 0.4462648092 0.4573569833 0.4521746853 0.4407824934 0.3860747233 0.4680097073 0.4597242388 0.4369086775 0.4763318355 0.4525242313 0.4504293161 0.4528524109 0.4496269723 0.4439234942 0.4735835958 0.459622757 0.4347230201 0.4563137368 0.4584799625 0.4670998986 0.4635671651 0.4536868761
0.4619637175 0.4493519952 0.440952551 0.444070665 0.4614348032 0.4262491002 0.4620422743 0.4244880498 0.4642059882 0.4514154459 0.4408163963 0.4162414488 0.4462496081 0.463958057 0.450595263 0.4494414962 0.4576775911 0.4286630331 0.4679240184 0.4604663562 0.4356429366 0.4494719751 0.4425960955 0.4604880633 0.4659445554 0.4385435939 0.4377454393 0.4527826129 0.4476164971 0.4543452076 0.4515530329 0.4382482345 0.3928440051 0.4670429653 0.4555250507 0.4373025091 0.4723292122 0.4505260405 0.4537163857 0.4540340846 0.451912429 0.4411643042 0.4707149758 0.4599793182 0.4331739442 0.4529268441 0.4561123231 0.4644448167 0.4627796857 0.4489897383
0.4658574629 0.4506144601 0.4444735152 0.4389031124 0.4643424716 0.4280291355 0.4671927795 0.4222737052 0.4686966869 0.4481511669 0.4406104364 0.4240033572 0.446614311 0.4652235537 0.4481737681 0.4502210628 0.4620470292 0.4284591024 0.4640898038 0.465166329 0.4383257473 0.4501773736 0.4465870356 0.465126191 0.4635226165 0.4498286184 0.444451736 0.4467261826 0.4449991715 0.4558480965 0.4446076687 0.4396130308 0.3924622475 0.4661961071 0.451584202 0.4467525343 0.4645300609 0.4550000083 0.4621731392 0.4648629932 0.4521061336 0.435468112 0.4674758274 0.4693764168 0.4314907642 0.4499879382 0.453725701 0.4633020057 0.4627097591 0.4432852412
0.4728286946 0.4414076828 0.4479957495 0.4377187117 0.4649350935 0.4269137314 0.4587719078 0.4211999679 0.4614246057 0.4496421363 0.4560406339 0.4280710645 0.447535293 0.4692479309 0.4508732784 0.4543285665 0.4644362017 0.4372176146 0.4715610017 0.4559808587 0.4368755878 0.4590020581 0.4476412809 0.4590427839 0.4585927998 0.4506304163 0.4534442697 0.4484781385 0.4459180166 0.4573638393 0.4428492069 0.4443158631 0.3915034493 0.4662341545 0.450462262 0.4358603883 0.4614309291 0.4537636948 0.4548708333 0.4472461997 0.4479818536 0.4362835649 0.4653990045 0.4633587799 0.4303084597 0.4502633424 0.4589145898 0.4631375145 0.4617888535 0.4520707706
